아파트명,기수,진행상황,계약완료,타사선정,수주가능성,이슈
잠실 파크리오,200,실사완료,시작 전,,30%,"경쟁, 공사비용, 설치위치"
"진주 건일 ",2,실사요청,시작 전,,30%,"공사비용, 노후아파트"
여수 고소시영,2,실사요청,시작 전,,30%,노후아파트
하남에코3단지,20,실사요청,시작 전,,30%,공사비용
